S21bbb2bbb21bCCE
,
(3.0, 2.8, 0.0)
(16.7, -0.9, 0.0)
(24.3, 3.9, 0.0)
(25.8, 4.8, 0.0)
(24.8, 4.8, 0.0)
(22.8, 3.0, 0.0)
(22.9, 1.3, 0.0)
(23.8, 1.8, 0.0)
(21.9, 1.8, 0.0)
(23.8, 2.8, 0.0)
(0.7, -2.5, 0.0)
(16.8, -0.5, 0.0)
(16.3, -1.5, 0.0)
(8.9, 2.5, 0.0)
(20.8, 1.8, 0.0)
(23.1, -3.5, 0.0)
|
(0.0, 0.0, 0.0, 1.0)
(0.0, 0.0, 0.0, 1.0)
(0.0, 0.0, 0.0, 1.0)
(0.0, 0.0, -0.7, 0.7)
(0.0, 0.0, -0.7, 0.7)
(0.0, 0.0, 0.7, 0.7)
(0.0, 0.0, 0.0, 1.0)
(0.0, 0.0, 1.0, 0.0)
(0.0, 0.0, 0.0, 1.0)
(0.0, 0.0, 1.0, 0.0)
(0.0, 0.0, 0.0, 1.0)
(0.0, 0.0, 0.0, 1.0)
(0.0, 0.0, 0.7, 0.7)
(0.0, 0.0, 0.0, 1.0)
(0.0, 0.0, 0.0, 1.0)
(0.0, 0.0, 0.0, 1.0)
